Simulated annealing: Cycle 1

Iter         T              F        Inc    Acc
 582    1.1347E-025   -1.6085E+000   150    75
 583    1.0212E-025   -1.6085E+000   150    75
 584    9.1908E-026   -1.6085E+000   150    81
 585    8.2717E-026   -1.6085E+000   150    71
 586    7.4445E-026   -1.6085E+000   150    89
 587    6.7001E-026   -1.6085E+000   150    67
 588    6.0301E-026   -1.6085E+000   150    73
 589    5.4271E-026   -1.6085E+000   150    71
 590    4.8844E-026   -1.6085E+000   150    73
 591    4.3959E-026   -1.6085E+000   150    85
 592    3.9563E-026   -1.6085E+000   150    74
 593    3.5607E-026   -1.6085E+000   150    80
 594    3.2046E-026   -1.6085E+000   150    77
 595    2.8842E-026   -1.6085E+000   150    75
 596    2.5958E-026   -1.6085E+000   150    73
 597    2.3362E-026   -1.6085E+000   150    75
 598    2.1026E-026   -1.6085E+000   150    76
 599    1.8923E-026   -1.6085E+000   150    72
 600    1.7031E-026   -1.6085E+000   150    76
 601    1.5328E-026   -1.6085E+000   150    73
 602    1.3795E-026   -1.6085E+000   150    69
 603    1.2415E-026   -1.6085E+000   150    75
 604    1.1174E-026   -1.6085E+000   150    82
 605    1.0056E-026   -1.6085E+000   150    70
 606    9.0508E-027   -1.6085E+000   150    74
 607    8.1457E-027   -1.6085E+000   150    71
 608    7.3312E-027   -1.6085E+000   150    85
 609    6.5980E-027   -1.6085E+000   150    70
 610    5.9382E-027   -1.6085E+000   150    82
 611    5.3444E-027   -1.6085E+000   150    66
 612    4.8100E-027   -1.6085E+000   150    77
 613    4.3290E-027   -1.6085E+000   150    75
 614    3.8961E-027   -1.6085E+000   150    75
 615    3.5065E-027   -1.6085E+000   150    81
 616    3.1558E-027   -1.6085E+000   150    76
 617    2.8402E-027   -1.6085E+000   150    78
 618    2.5562E-027   -1.6085E+000   150    69
 619    2.3006E-027   -1.6085E+000   150    75
 620    2.0705E-027   -1.6085E+000   150    70
 621    1.8635E-027   -1.6085E+000   150    79
 622    1.6771E-027   -1.6085E+000   150    77
 623    1.5094E-027   -1.6085E+000   150    71
 624    1.3585E-027   -1.6085E+000   150    70
 625    1.2226E-027   -1.6085E+000   150    83
 626    1.1004E-027   -1.6085E+000   150    63
 627    9.9033E-028   -1.6085E+000   150    72
 628    8.9130E-028   -1.6085E+000   150    78
 629    8.0217E-028   -1.6085E+000   150    75
 630    7.2195E-028   -1.6085E+000   150    76
 631    6.4976E-028   -1.6085E+000   150    78
 632    5.8478E-028   -1.6085E+000   150    79
 633    5.2630E-028   -1.6085E+000   150    80
 634    4.7367E-028   -1.6085E+000   150    65
 635    4.2631E-028   -1.6085E+000   150    83
 636    3.8367E-028   -1.6085E+000   150    81
 637    3.4531E-028   -1.6085E+000   150    72
 638    3.1078E-028   -1.6085E+000   150    75
 639    2.7970E-028   -1.6085E+000   150    72
 640    2.5173E-028   -1.6085E+000   150    78
 641    2.2656E-028   -1.6085E+000   150    75
 642    2.0390E-028   -1.6085E+000   150    71
 643    1.8351E-028   -1.6085E+000   150    85
 644    1.6516E-028   -1.6085E+000   150    67
 645    1.4864E-028   -1.6085E+000   150    77
 646    1.3378E-028   -1.6085E+000   150    82
 647    1.2040E-028   -1.6085E+000   150    75
 648    1.0836E-028   -1.6085E+000   150    68
 649    9.7525E-029   -1.6085E+000   150    76
 650    8.7772E-029   -1.6085E+000   150    77
 651    7.8995E-029   -1.6085E+000   150    74
 652    7.1096E-029   -1.6085E+000   150    72
 653    6.3986E-029   -1.6085E+000   150    79
 654    5.7588E-029   -1.6085E+000   150    81
 655    5.1829E-029   -1.6085E+000   150    78
 656    4.6646E-029   -1.6085E+000   150    74
 657    4.1981E-029   -1.6085E+000   150    83
 658    3.7783E-029   -1.6085E+000   150    72
 659    3.4005E-029   -1.6085E+000   150    76
 660    3.0604E-029   -1.6085E+000   150    70
 661    2.7544E-029   -1.6085E+000   150    79
 662    2.4790E-029   -1.6085E+000   150    77
 663    2.2311E-029   -1.6085E+000   150    73
 664    2.0080E-029   -1.6085E+000   150    76
 665    1.8072E-029   -1.6085E+000   150    74
 666    1.6264E-029   -1.6085E+000   150    75
 667    1.4638E-029   -1.6085E+000   150    71
 668    1.3174E-029   -1.6085E+000   150    70
 669    1.1857E-029   -1.6085E+000   150    79
 670    1.0671E-029   -1.6085E+000   150    80
 671    9.6040E-030   -1.6085E+000   150    78
 672    8.6436E-030   -1.6085E+000   150    83
 673    7.7792E-030   -1.6085E+000   150    80
 674    7.0013E-030   -1.6085E+000   150    66
 675    6.3012E-030   -1.6085E+000   150    79
 676    5.6711E-030   -1.6085E+000   150    73
 677    5.1039E-030   -1.6085E+000   150    82
 678    4.5936E-030   -1.6085E+000   150    74
 679    4.1342E-030   -1.6085E+000   150    76
 680    3.7208E-030   -1.6085E+000   150    74
 681    3.3487E-030   -1.6085E+000   150    77
 682    3.0138E-030   -1.6085E+000   150    78
 683    2.7124E-030   -1.6085E+000   150    74
 684    2.4412E-030   -1.6085E+000   150    70
 685    2.1971E-030   -1.6085E+000   150    72
 686    1.9774E-030   -1.6085E+000   150    83
 687    1.7796E-030   -1.6085E+000   150    74
 688    1.6017E-030   -1.6085E+000   150    80
 689    1.4415E-030   -1.6085E+000   150    66
 690    1.2974E-030   -1.6085E+000   150    82
 691    1.1676E-030   -1.6085E+000   150    74
 692    1.0509E-030   -1.6085E+000   150    76
